Q1_Preferred_Study_Mode,Q2_Textbook_Type_Used,Q3_Prior_Open_Textbook_Experience,Q4_Clear_Explanations,Q4_Understanding_Difficult_Topics,Q4_Useful_Examples,Q4_Overall_Success_Contribution,Q5_Textbook_Usage_Frequency,Q6_Textbook_Effectiveness_Assignments_Studying,Q7_Engagement_Text_Readability,Q7_Engagement_Visual_Design,Q7_Engagement_Navigation_Ease,Q8_Textbook_Enhancement_Course_Connection,Q9_Textbook_Contribution_Retention,Q10_Used_Interactive_Features,Q11_Interactive_Feature_Usage_Frequency,Q12_Interactive_Feature_Usefulness,Q13_Effectiveness_Understanding,Q13_Effectiveness_Retention,Q13_Effectiveness_ApplyingConcepts,Q13_Effectiveness_Reviewing,Q13_Effectiveness_Other,Q15_Textbook_Accessibility,Q16_Textbook_Preference_Future,Q17_Textbook_Distracting,Q18overall_textbook_satisfaction
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Weekly,Somewhat effective,,,,,,,,,,,,,,,,,
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A few times a week,Very effective,Very Engaging,Very Engaging,Engaging,Extremely,Extremely,Yes,Ocassionally,Very useful,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Very Effective,Extremely Accessible,Traditional print textbook,Not at all distracting,Extremely Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Neutral,Agree,Agree,Disagree,Rarely,Somewhat effective,Disengaging,Disengaging,Neutral,Moderately,Moderately,No,,,Slightly Effective,Moderately Effective,Moderately Effective,Very Effective,,Slightly Accessible,Open online textbook,Moderately Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Weekly,Very effective,Very Engaging,Engaging,Neutral,Extremely,Very much,Yes,Frequently,Extremely useful,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Accessible,Open online textbook,Not at all distracting,Very Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",No,Neutral,Neutral,Agree,Agree,Daily,Very effective,Engaging,Engaging,Engaging,Moderately,Moderately,Yes,Frequently,Very useful,Moderately Effective,Very Effective,Very Effective,Moderately Effective,Moderately Effective,Very Accessible,Traditional print textbook,Moderately Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Disagree,Weekly,Somewhat effective,Disengaging,Very Engaging,Very Disengaging,Very much,Moderately,Yes,Frequently,Very useful,Very Effective,Slightly Effective,Very Effective,Very Effective,Very Effective,Extremely Accessible,Open online textbook,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Disagree,Neutral,Disagree,Weekly,Not at all effective,Disengaging,Neutral,Disengaging,Slightly,Not at All,No,,,Slightly Effective,Not Effective,Not Effective,Not Effective,Not Effective,Very Accessible,No preference,Not at all distracting,Slightly Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Disagree,Neutral,Neutral,Agree,Rarely,Somewhat effective,Disengaging,Neutral,Very Disengaging,Slightly,Slightly,Yes,Rarely,Slightly useful,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,,Slightly Accessible,Traditional print textbook,Slightly Distracting,Slightly Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,A few times a week,Very effective,Engaging,Engaging,Neutral,Very much,Very much,Yes,Frequently,Extremely useful,Very Effective,Very Effective,Moderately Effective,Very Effective,,Very Accessible,Open online textbook,Not at all distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Daily,Very effective,Engaging,Engaging,Neutral,Very much,Very much,Yes,Frequently,Very useful,Very Effective,Moderately Effective,Very Effective,Very Effective,Very Effective,Very Accessible,Both,Not at all distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Weekly,Somewhat effective,Neutral,Neutral,Neutral,Moderately,Moderately,No,,,Moderately Effective,Slightly Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Accessible,Both,Slightly Distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",No,Neutral,Neutral,Agree,,Rarely,,Neutral,Engaging,Engaging,Very much,Moderately,,Rarely,,,,,,,Very Accessible,Open online textbook,,
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Neutral,Disagree,Agree,Strongly Disagree,Weekly,Not at all effective,Disengaging,Neutral,Very Disengaging,Moderately,Slightly,Yes,Frequently,Very useful,Slightly Effective,Slightly Effective,Not Effective,Slightly Effective,Not Effective,Moderately Accessible,Traditional print textbook,Slightly Distracting,Slightly Satisfied
Other,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Disagree,Rarely,Somewhat effective,Neutral,Engaging,Very Disengaging,Slightly,Slightly,Yes,Ocassionally,Moderately useful,Moderately Effective,Not Effective,Slightly Effective,Moderately Effective,Slightly Effective,Slightly Accessible,No preference,Slightly Distracting,Slightly Satisfied
A mix of both,"Open online textbook (digital, free access)",No,Agree,Agree,Agree,Neutral,Rarely,Somewhat effective,Engaging,Engaging,Engaging,Very much,Very much,Yes,Ocassionally,Very useful,Very Effective,Very Effective,Moderately Effective,Very Effective,Very Effective,Very Accessible,Traditional print textbook,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Weekly,Very effective,Very Engaging,Very Engaging,Engaging,Extremely,Moderately,Yes,Frequently,Extremely useful,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,,Extremely Accessible,Both,Slightly Distracting,Extremely Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",No,Disagree,Disagree,Disagree,Strongly Disagree,Rarely,Not at all effective,Disengaging,Disengaging,Disengaging,Not at all,Not at All,Yes,Rarely,Not useful,Not Effective,Not Effective,Not Effective,Not Effective,Not Effective,Slightly Accessible,Both,Extremely Distracting,Not Satisfied
