Q1_Preferred_Study_Mode,Q2_Textbook_Type_Used,Q3_Prior_Open_Textbook_Experience,Q4_Clear_Explanations,Q4_Understanding_Difficult_Topics,Q4_Useful_Examples,Q4_Overall_Success_Contribution,Q5_Textbook_Usage_Frequency,Q6_Textbook_Effectiveness_Assignments_Studying,Q7_Engagement_Text_Readability,Q7_Engagement_Visual_Design,Q7_Engagement_Navigation_Ease,Q8_Textbook_Enhancement_Course_Connection,Q9_Textbook_Contribution_Retention,Q10_Used_Interactive_Features,Q11_Interactive_Feature_Usage_Frequency,Q12_Interactive_Feature_Usefulness,Q13_Effectiveness_Understanding,Q13_Effectiveness_Retention,Q13_Effectiveness_ApplyingConcepts,Q13_Effectiveness_Reviewing,Q13_Effectiveness_Other,Q15_Textbook_Accessibility,Q16_Textbook_Preference_Future,Q17_Textbook_Distracting,Q18overall_textbook_satisfaction
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Agree,Neutral,Strongly Agree,Neutral,Weekly,Somewhat effective,Disengaging,Engaging,Neutral,Moderately,Very much,Yes,Ocassionally,Very useful,Moderately Effective,Slightly Effective,Slightly Effective,Very Effective,Moderately Effective,Very Accessible,Traditional print textbook,Very Distracting,Moderately Satisfied
Other,"Open online textbook (digital, free access)",Yes,Agree,Disagree,Agree,Strongly Disagree,Rarely,Somewhat effective,Very Disengaging,Neutral,Neutral,Moderately,Slightly,No,,,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,Not Accessible,No preference,Moderately Distracting,Not Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Agree,Weekly,Somewhat effective,Engaging,Neutral,Engaging,Very much,Very much,Yes,Rarely,Moderately useful,Very Effective,Moderately Effective,Very Effective,Very Effective,Very Effective,Moderately Accessible,Both,Slightly Distracting,Very Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",No,Agree,Disagree,Strongly Agree,Strongly Agree,Rarely,Somewhat effective,Engaging,Engaging,Disengaging,Very much,Moderately,Yes,Ocassionally,Slightly useful,Moderately Effective,Moderately Effective,Slightly Effective,Slightly Effective,,Moderately Accessible,Open online textbook,Moderately Distracting,Moderately Satisfied
Other,"Open online textbook (digital, free access)",No,Neutral,Neutral,Neutral,Strongly Disagree,Rarely,Somewhat effective,Neutral,Neutral,Engaging,Not at all,Not at All,Yes,Rarely,Slightly useful,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,,Slightly Accessible,Open online textbook,Slightly Distracting,Not Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Neutral,Disagree,Weekly,Somewhat effective,Neutral,Engaging,Neutral,Slightly,Slightly,No,,,Moderately Effective,Slightly Effective,Moderately Effective,Moderately Effective,Moderately Effective,Slightly Accessible,Both,Moderately Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,Weekly,Very effective,Neutral,Neutral,Engaging,Very much,Very much,Yes,Frequently,Extremely useful,Extremely Effective,Very Effective,Very Effective,Very Effective,Very Effective,Very Accessible,Both,Not at all distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",No,Agree,Neutral,Agree,Agree,A few times a week,Somewhat effective,Neutral,Engaging,Neutral,Moderately,Moderately,No,,,Very Effective,Moderately Effective,Very Effective,Very Effective,,Moderately Accessible,No preference,Slightly Distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Disagree,Disagree,Agree,Agree,A few times a week,Very effective,Disengaging,Neutral,Neutral,Moderately,Slightly,No,,,Moderately Effective,Slightly Effective,Moderately Effective,Moderately Effective,,Very Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Traditional print textbook (physical, purchased or rented)",Yes,Neutral,Agree,Agree,Neutral,Rarely,Somewhat effective,Neutral,Neutral,Disengaging,Moderately,Moderately,Yes,Ocassionally,Moderately useful,Moderately Effective,Moderately Effective,Slightly Effective,Moderately Effective,,Slightly Accessible,Open online textbook,Moderately Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Strongly Agree,Weekly,Very effective,Neutral,Neutral,Disengaging,Slightly,Moderately,Yes,Ocassionally,Moderately useful,Very Effective,Very Effective,Moderately Effective,Moderately Effective,,Slightly Accessible,No preference,Moderately Distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,Weekly,Somewhat effective,Neutral,Very Engaging,Engaging,Slightly,Slightly,No,,,Slightly Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Slightly Accessible,Traditional print textbook,Not at all distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Agree,Weekly,Somewhat effective,Very Engaging,Very Engaging,Very Engaging,Very much,Moderately,Yes,Frequently,Extremely useful,Very Effective,Slightly Effective,Moderately Effective,Moderately Effective,Moderately Effective,Extremely Accessible,Open online textbook,Slightly Distracting,Very Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,A few times a week,Somewhat effective,Neutral,Neutral,Engaging,Very much,Slightly,Yes,Ocassionally,Moderately useful,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Very Accessible,Open online textbook,Slightly Distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,Rarely,Somewhat effective,Engaging,Engaging,Engaging,Moderately,Moderately,Yes,Frequently,Very useful,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Very Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A few times a week,Very effective,Very Engaging,Very Engaging,Very Engaging,Extremely,Very much,Yes,Frequently,Extremely useful,Extremely Effective,Very Effective,Extremely Effective,Extremely Effective,,Extremely Accessible,Both,Slightly Distracting,Extremely Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Weekly,Somewhat effective,Engaging,Engaging,Engaging,Moderately,Very much,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Accessible,Open online textbook,Slightly Distracting,Moderately Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",No,Agree,Agree,Agree,Neutral,Rarely,Somewhat effective,Engaging,Engaging,Neutral,Moderately,Moderately,,Ocassionally,Moderately useful,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Slightly Accessible,No preference,Not at all distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,Weekly,Somewhat effective,Engaging,Engaging,Engaging,Moderately,Moderately,Yes,Ocassionally,Very useful,Moderately Effective,Very Effective,Very Effective,Very Effective,,Extremely Accessible,Open online textbook,Not at all distracting,Very Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Daily,Very effective,Neutral,Neutral,Neutral,Moderately,Moderately,No,,,Extremely Effective,Extremely Effective,Very Effective,Extremely Effective,Not Effective,Very Accessible,Traditional print textbook,Not at all distracting,Very Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",Yes,Strongly Agree,Agree,Agree,Agree,Weekly,Somewhat effective,Engaging,Engaging,Engaging,Moderately,Very much,No,,,Very Effective,Moderately Effective,Moderately Effective,Very Effective,Extremely Effective,Extremely Accessible,Traditional print textbook,Moderately Distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Never,Not at all effective,Neutral,Neutral,Neutral,Not at all,Not at All,No,,,Not Effective,Not Effective,Not Effective,Not Effective,Not Effective,Moderately Accessible,Traditional print textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",Yes,Agree,Neutral,Neutral,Agree,Daily,Somewhat effective,Neutral,Engaging,Neutral,Moderately,Moderately,Yes,Ocassionally,Moderately useful,Moderately Effective,Moderately Effective,Very Effective,Moderately Effective,,Very Accessible,Both,Not at all distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Strongly Agree,Agree,Agree,Neutral,Weekly,Somewhat effective,Neutral,Engaging,Engaging,Moderately,Moderately,Yes,Ocassionally,Very useful,Very Effective,Moderately Effective,Moderately Effective,Very Effective,,Slightly Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Traditional print textbook (physical, purchased or rented)",Yes,Neutral,Neutral,Neutral,Neutral,Rarely,Not at all effective,Very Disengaging,Very Disengaging,Very Disengaging,Moderately,Slightly,No,,,Moderately Effective,Not Effective,Not Effective,Not Effective,,Not Accessible,Open online textbook,Extremely Distracting,Not Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,Weekly,Somewhat effective,Neutral,Engaging,Engaging,Moderately,Moderately,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Very Effective,,Very Accessible,Both,Not at all distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Neutral,Disagree,Neutral,Disagree,Rarely,Not at all effective,Disengaging,Neutral,Engaging,Moderately,Slightly,No,,,Moderately Effective,Slightly Effective,Slightly Effective,Slightly Effective,,,,,Slightly Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Traditional print textbook (physical, purchased or rented)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Weekly,Very effective,Neutral,Neutral,Neutral,Extremely,Extremely,No,,,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,,,,
